                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                                     date 
                                     800                                      753                  1.5000000000000000E+001                  2.0000000000000000E-002                  3.4402894522617287E+004                  9.9275631333941348E+001                  2.0940935915136561E+004                  2.7573938647872477E+004                  1.2633278302266067E+001                 -6.3224414439582386E+000                  6.9999993619436662E-001                  2.9777839535226206E-005                  2.7997022417774969E-001                  3.4412365594816727E-003                  1.0085911232809001E-003                  9.3604492315982526E-003                  2.0994604783340911E-003                  1.5000000000000000E+001                  0.0000000000000000E+000                  1.0499999960443430E+001                  4.4696750957509354E-004                  4.1995530459436869E+000                  5.1623953253599753E-002                  1.5122560559490548E-002                  1.4040673918039592E-001                  3.1491907175011359E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4999999977335330E+001                  1.2572780389623851E+001                  1.4999999796592133E+001                  1.2458648258928722E+001                  1.1608123959504245E+005                  1.5161675197960129E+004                  5.4399192627337463E+006                  3.3634425124575751E+000                  3.3634425124575746E+000                  3.7898218816011372E-045                  1.7756062176415954E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.0856917052284885E+012                                    11701                               "gfortran"                                  "8.3.0"                  "x86_64-linux-20190503"                               "20191020" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.5000000000000000E+001                  1.1015160634483385E+000                  4.3210880157553690E+000                 -9.4606519641903581E+000                  3.1497329720525284E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  1.4999999999992500E+001                  1.1015138725060287E+000                  4.3213813304091042E+000                 -9.4586069875723382E+000                  3.1516715233646893E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       3                  1.4999999999976053E+001                  1.1015090907829750E+000                  4.3217835298316212E+000                 -9.4558188215753578E+000                  3.1543203666654351E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       4                  1.4999999999959609E+001                  1.1015043395037674E+000                  4.3222401999462328E+000                 -9.4526760787722761E+000                  3.1573143592964015E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       5                  1.4999999999938638E+001                  1.1014983239501397E+000                  4.3227509204316368E+000                 -9.4491890824125004E+000                  3.1606463683030399E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       6                  1.4999999999917666E+001                  1.1014923562556553E+000                  4.3235149189799076E+000                 -9.4440292186859836E+000                  3.1655972048393757E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       7                  1.4999999999875723E+001                  1.1014805611086633E+000                  4.3249457817613752E+000                 -9.4345359696599402E+000                  3.1747677332745932E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       8                  1.4999999999799225E+001                  1.1014595124370872E+000                  4.3279948840826439E+000                 -9.4150167652751229E+000                  3.1938806800805954E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       9                  1.4999999999620737E+001                  1.1014125463592670E+000                  4.3321740960141364E+000                 -9.3895296328522999E+000                  3.2193106074423925E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      10                  1.4999999999442249E+001                  1.1013682432644767E+000                  4.3362563818747697E+000                 -9.3659385133111819E+000                  3.2433430427595029E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
